OBJECTID_1;Districto;Barrio;Shape_Leng;Shape_Area;COD_DIS;COD_DIS_TX;BARRIO_MAY;COD_DISBAR;COD_BAR;NUM_BAR;BARRIO_MT;COD_DISB
23;Puente de Vallecas;Palomeras Bajas;5649,533593;1723868,314;13;13;PALOMERAS BAJAS;133;1303;03;PALOMERAS BAJAS;13_3
22;Puente de Vallecas;Palomeras Sureste;7823,249151;3108597,48;13;13;PALOMERAS SURESTE;134;1304;04;PALOMERAS SURESTE;13_4
28;Puente de Vallecas;Portazgo;4834,744499;1245260,691;13;13;PORTAZGO;135;1305;05;PORTAZGO;13_5
38;Puente de Vallecas;Numancia;5364,460225;1849069,192;13;13;NUMANCIA;136;1306;06;NUMANCIA;13_6
34;Moratalaz;Pavones;4120,649108;1009652,016;14;14;PAVONES;141;1401;01;PAVONES;14_1
48;Moratalaz;Horcajo;3896,493256;745946,3219;14;14;HORCAJO;142;1402;02;HORCAJO;14_2
51;Moratalaz;Marroquina;6747,795677;1790050,431;14;14;MARROQUINA;143;1403;03;MARROQUINA;14_3
54;Moratalaz;Media Legua;4676,05777;998967,7103;14;14;MEDIA LEGUA;144;1404;04;MEDIA LEGUA;14_4
43;Moratalaz;FontarrOn;6220,556474;964573,8875;14;14;FONTARRON;145;1405;05;FONTARRON;14_5
46;Moratalaz;Vinateros;3721,671378;593977,2816;14;14;VINATEROS;146;1406;06;VINATEROS;14_6
68;Ciudad Lineal;Ventas;8207,619728;3198035,685;15;15;VENTAS;151;1501;01;VENTAS;15_1
72;Ciudad Lineal;Pueblo Nuevo;7746,682999;2319216,423;15;15;PUEBLO NUEVO;152;1502;02;PUEBLO NUEVO;15_2
78;Ciudad Lineal;Quintana;4438,48928;723117,3281;15;15;QUINTANA;153;1503;03;QUINTANA;15_3
81;Ciudad Lineal;ConcepciOn;5775,727302;885910,7502;15;15;CONCEPCION;154;1504;04;CONCEPCION;15_4
84;Ciudad Lineal;San Pascual;4456,051268;1052724,597;15;15;SAN PASCUAL;155;1505;05;SAN PASCUAL;15_5
93;Ciudad Lineal;San Juan Bautista;4012,350954;1010844,475;15;15;SAN JUAN BAUTISTA;156;1506;06;SAN JUAN BAUTISTA;15_6
99;Ciudad Lineal;Colina;3175,567913;559698,965;15;15;COLINA;157;1507;07;COLINA;15_7
104;Ciudad Lineal;Atalaya;2240,850863;248882,7483;15;15;ATALAYA;158;1508;08;ATALAYA;15_8
118;Ciudad Lineal;Costillares;5635,575423;1427246,848;15;15;COSTILLARES;159;1509;09;COSTILLARES;15_9
95;Hortaleza;Palomas;4994,629147;1129769,724;16;16;PALOMAS;161;1601;01;PALOMAS;16_1
98;Hortaleza;Piovera;7833,911636;3139649,512;16;16;PIOVERA;162;1602;02;PIOVERA;16_2
106;Hortaleza;Canillas;7568,376733;2522508,915;16;16;CANILLAS;1603;163;03;CANILLAS;16_3
115;Hortaleza;Pinar del Rey;8208,5887;2664766,715;16;16;PINAR DEL REY;164;1604;04;PINAR DEL REY;16_4
116;Hortaleza;Apostol Santiago;4724,24833;1205069,875;16;16;APOSTOL SANTIAGO;165;1605;05;APOSTOL SANTIAGO;16_5
125;Hortaleza;Valdefuentes;18862,91957;16757996,81;16;16;VALDEFUENTES;166;1606;06;VALDEFUENTES;16_6
5;Villaverde;Villaverde Alto, Casco HistOrico de Villaverde;13726,6605;9253553,841;17;17;VILLAVERDE ALTO, CASCO HISTORICO DE VILLAVERDE;171;1701;01;VILLAVERDE ALTO, CASCO HISTORICO DE VILLAVERDE;17_1
1;Villaverde;San CristObal;4752,827446;1082492,472;17;17;SAN CRISTOBAL;172;1702;02;SAN CRISTOBAL;17_2
2;Villaverde;Butarque;12641,91686;6375521,776;17;17;BUTARQUE;173;1703;0;BUTARQUE;17_3
4;Villaverde;Los Rosales;5470,262628;1540746,761;17;17;LOS ROSALES;174;1704;04;LOS ROSALES;17_4
3;Villaverde;Los Angeles;5703,998815;1935271,49;17;17;LOS ANGELES;175;1705;05;LOS ANGELES;17_5
11;Villa de Vallecas;Casco HistOrico de Vallecas;39357,26884;43045886,11;18;18;CASCO HISTORICO DE VALLECAS;181;1801;01;CASCO HISTORICO DE VALLECAS;18_1
18;Villa de Vallecas;Santa Eugenia;6793,019649;2080233,339;18;18;SANTA EUGENIA;182;1802;02;SANTA EUGENIA;18_2
7;Villa de Vallecas;Ensanche de Vallecas;14866,71359;6341118,962;18;18;ENSANCHE DE VALLECAS;183;1803;03;ENSANCHE DE VALLECAS;18_3
130;VicAlvaro;Casco HistOrico de VicAlvaro;31101,7474;21494220,32;19;19;CASCO HISTORICO DE VICALVARO;191;1901;01;CASCO HISTORICO DE VICALVARO;19_1
37;VicAlvaro;Valdebernardo;7086,989581;2555072,515;19;19;VALDEBERNARDO;192;1902;02;VALDEBERNARDO;19_2
